,g1_symbol,g2_symbol,conn
210135,MTIF2,SHMT2,0.4690145199989203
211761,MYC,SHMT2,0.2511404985285161
214578,MYO1E,SHMT2,0.2511404985285161
214963,MYO9A,SHMT2,0.2511404985285161
215308,NAB1,SHMT2,0.2511404985285161
215589,HNRNPM,SHMT2,0.2511404985285161
216261,NASP,SHMT2,0.4201912082140011
217545,NDN,SHMT2,0.4690145199989203
217980,NDUFA4,SHMT2,0.5915642854822054
219868,NDUFS2,SHMT2,0.2511404985285161
220055,NDUFS3,SHMT2,0.851019159454004
221136,NDUFV3,SHMT2,0.2511404985285161
223407,NFATC3,SHMT2,0.2511404985285161
224518,NFX1,SHMT2,0.2511404985285161
224751,NFYA,SHMT2,0.2511404985285161
225208,NIT1,SHMT2,0.5915642854822054
225625,NME4,SHMT2,0.5915642854822054
227118,NPAS2,SHMT2,0.2511404985285161
229715,NTRK1,SHMT2,0.2511404985285161
231661,OAT,SHMT2,0.4201912082140011
232857,OTC,SHMT2,0.4690145199989203
233197,OXCT1,SHMT2,0.5915642854822054
233702,P4HA1,SHMT2,0.4201912082140011
234175,PEBP1,SHMT2,0.2511404985285161
234421,PAFAH1B2,SHMT2,0.4201912082140011
235579,PAWR,SHMT2,0.4201912082140011
235942,PBX2,SHMT2,0.2511404985285161
238873,PDHA1,SHMT2,0.4201912082140011
239338,PDK1,SHMT2,0.4690145199989203
240340,PFAS,SHMT2,0.2511404985285161
241955,PHB1,SHMT2,0.2511404985285161
244273,PIN4,SHMT2,0.2511404985285161
247833,POLA1,SHMT2,0.2511404985285161
250262,PPARD,SHMT2,0.1080838938865498
251357,PPM1G,SHMT2,0.2511404985285161
252858,PPP1R8,SHMT2,0.4201912082140011
254505,PPP5C,SHMT2,0.2511404985285161
254608,PPP6C,SHMT2,0.2511404985285161
255380,PRKAB1,SHMT2,0.5747820684033044
256795,PRKCE,SHMT2,0.2511404985285161
263270,PSMC2,SHMT2,0.2511404985285161
263434,PSMC3,SHMT2,0.2511404985285161
269492,PXN,SHMT2,0.2511404985285161
269756,ALDH18A1,SHMT2,0.2511404985285161
270787,RAB5B,SHMT2,0.2511404985285161
273380,RAP2A,SHMT2,0.2511404985285161
278196,SNORA63,SHMT2,0.2511404985285161
280336,SNORD21,SHMT2,0.2511404985285161
289012,MRPS12,SHMT2,0.4690145199989203
295333,RYK,SHMT2,0.2511404985285161
295978,S100A11,SHMT2,0.2511404985285161
296354,MAPK12,SHMT2,0.4201912082140011
298446,SDHA,SHMT2,0.4201912082140011
299495,SRSF1,SHMT2,0.2511404985285161
301429,SHMT1,SHMT2,0.7408118799902581
6,A1BG,SMN1,0.1080838938865498
119,A2M,SMN1,0.147265801868792
3272,ACTB,SMN1,0.3233796633819616
18005,APLP1,SMN1,0.1080838938865498
29407,ATP5F1B,SMN1,0.1080838938865498
30652,ATP6V1A,SMN1,0.1080838938865498
32819,BAD,SMN1,0.2511404985285161
34170,BCL2,SMN1,0.5790039657058368
36099,BMI1,SMN1,0.2511404985285161
39866,BYSL,SMN1,0.1975063565032939
44380,CAMK2D,SMN1,0.5915642854822054
53988,CDC5L,SMN1,0.2511404985285161
60842,CENPB,SMN1,0.1080838938865498
65111,CHUK,SMN1,0.2511404985285161
68916,COL4A2,SMN1,0.1080838938865498
68963,COL4A5,SMN1,0.1080838938865498
69539,COPA,SMN1,0.5694585164122478
72393,CRIP2,SMN1,0.1080838938865498
77995,CTBP2,SMN1,0.2511404985285161
84855,DDX5,SMN1,0.2511404985285161
85586,DHX9,SMN1,0.2511404985285161
87870,DLD,SMN1,0.4201912082140011
89131,DMPK,SMN1,0.1080838938865498
89606,DYNC1I1,SMN1,0.1080838938865498
90003,DNM2,SMN1,0.1080838938865498
95232,ECT2,SMN1,0.2511404985285161
96382,EEF1A1,SMN1,0.1080838938865498
99476,EHHADH,SMN1,0.1080838938865498
108821,ERH,SMN1,0.2511404985285161
109090,FBL,SMN1,0.968240964427845
109954,ESR1,SMN1,0.2511404985285161
112007,ESR2,SMN1,0.7408118799902581
115112,EWSR1,SMN1,0.5694585164122478
115663,EXT2,SMN1,0.1080838938865498
116090,EZH2,SMN1,0.1080838938865498
119977,FGB,SMN1,0.1080838938865498
126735,FUS,SMN1,0.8420512470740161
127379,FYN,SMN1,0.1080838938865498
129255,GAPDH,SMN1,0.1080838938865498
130785,GDF9,SMN1,0.147265801868792
140384,GSK3B,SMN1,0.5747820684033044
144212,H2AC8,SMN1,0.5747820684033044
146797,HADHB,SMN1,0.1080838938865498
147981,HTT,SMN1,0.1080838938865498
148891,HDAC1,SMN1,0.4201912082140011
149476,HDAC2,SMN1,0.2511404985285161
154538,HNRNPA1,SMN1,0.2511404985285161
155030,HNRNPA2B1,SMN1,0.2511404985285161
156189,HNRNPF,SMN1,0.5915642854822054
